title,date,location,url,attendees,tags
Cornell Fighting Game Club Weekly Meeting,"Friday, 08 May 2026 At 8:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2299356,0 going,"Open Event, Gaming, Free, Fun, Community, Food/Drink"
Mafia Club Weekly Meeting,"Friday, 08 May 2026 At 9:00 PM, EDT (GMT-4)",Keeton House Downstairs G40A Lounge ( near dining room ),/rsvp_boot?id=2292644,0 going,"Open Training/Workshop, Dance, Free, Fun"
Swing Syndicate Open Jam,"Saturday, 09 May 2026 At 11:00 AM, EDT (GMT-4)","Garden Room, Willard Straight Hall",/rsvp_boot?id=2299949,0 going,"Open Event, Music, Free, Spirituality, Faith/ Religion"
Pickup Choir with PCM,"Sunday, 10 May 2026 At 10:00 AM, EDT (GMT-4)",Anabel Taylor Hall,/rsvp_boot?id=2286087,0 going,"Open Event, Free, Community, Spirituality, Faith/ Religion, Family, Inclusion"
Morning Worship Services with PCM,"Sunday, 10 May 2026 At 11:00 AM, EDT (GMT-4)",Anabel Taylor Hall Chapel,/rsvp_boot?id=2286123,0 going,"Open Event, Spirituality, Faith/ Religion"
Catholic Bible Study,"Sunday, 10 May 2026 At 3:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303284,0 going,"Open Event, Spirituality, Faith/ Religion"
Sunday Rosary,"Sunday, 10 May 2026 At 4:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303293,0 going,"Open Event, Spirituality, Faith/ Religion"
Catechesis,"Sunday, 10 May 2026 At 4:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303302,0 going,"Open Event, Spirituality"
Sunday Mass ( 9pm ),"Sunday, 10 May 2026 At 9:00 PM, EDT (GMT-4)",Sage Chapel,/rsvp_boot?id=2288023,0 going,"Open Meeting, Dialogue/ Discussion, Education, Graduate School, Spirituality, Faith/ Religion, Academics, Food/Drink, Funded by Interfaith Council at ..."
Scriptorium,"Monday, 11 May 2026 At 10:00 AM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302135,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Morning Prayer,"Monday, 11 May 2026 At 10:00 AM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302147,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Monday, 11 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302094,0 going,"Private Meeting, Education"
MICC G-Body and NME Session,"Monday, 11 May 2026 At 6:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2301836,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Tuesday, 12 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302095,0 going,"Open Meeting, Mindfulness, Community, Faith/ Religion, Funded by Interfaith Council at ..."
Weekly Meditation and Meeting,"Wednesday, 13 May 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300513,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Wednesday, 13 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302120,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Thursday, 14 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302096,0 going,"Open Event, Free, Fun"
"Come Juggle! Thursday, 14 May 2026 At 6:00 PM, EDT (GMT-4)",Physical Sciences Building Patio,Opens the event page,/rsvp_boot?id=2302529,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 14 May 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288828,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 15 May 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295722,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Friday, 15 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302121,0 going,"Open Event, Gaming, Free, Fun, Community, Food/Drink"
Mafia Club Weekly Meeting,"Friday, 15 May 2026 At 9:00 PM, EDT (GMT-4)",Keeton House Downstairs G40A Lounge ( near dining room ),/rsvp_boot?id=2292645,0 going,"Open Event, Spirituality"
Sunday Mass ( 9pm ),"Sunday, 17 May 2026 At 9:00 PM, EDT (GMT-4)",Sage Chapel,/rsvp_boot?id=2288024,0 going,"Open Meeting, Dialogue/ Discussion, Education, Graduate School, Spirituality, Faith/ Religion, Academics, Food/Drink, Funded by Interfaith Council at ..."
Scriptorium,"Monday, 18 May 2026 At 10:00 AM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302136,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Morning Prayer,"Monday, 18 May 2026 At 10:00 AM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302148,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Monday, 18 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302097,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Tuesday, 19 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302098,0 going,"Open Meeting, Mindfulness, Community, Faith/ Religion, Funded by Interfaith Council at ..."
Weekly Meditation and Meeting,"Wednesday, 20 May 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300514,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Wednesday, 20 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302122,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Thursday, 21 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302099,0 going,"Open Event, Free, Fun"
"Come Juggle! Thursday, 21 May 2026 At 6:00 PM, EDT (GMT-4)",Physical Sciences Building Patio,Opens the event page,/rsvp_boot?id=2302530,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 21 May 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288829,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
