title,date,location,url,attendees,tags
"Engineering Poster Workshop: Part 1 Session, March 18th","Wednesday, 18 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2301399,0 going,"Open Event, Student Life, Education, Free, Health and Wellness"
Eating Well Trivia Pop-Up,"Wednesday, 18 March 2026 At 5:00 PM, EDT (GMT-4)",Risley Dining,/rsvp_boot?id=2302498,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
French Conversation Hour,"Wednesday, 18 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297481,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Armenian Conversation Hour,"Wednesday, 18 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297375,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Arabic Conversation Hour,"Wednesday, 18 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297360,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Wednesday, 18 March 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302108,0 going,"Open Meeting, Careers"
CAS G-Body Meeting,"Wednesday, 18 March 2026 At 5:45 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2299964,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Thai Conversation Hour,"Wednesday, 18 March 2026 At 6:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2297815,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Japanese Conversation Hour,"Wednesday, 18 March 2026 At 6:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297724,0 going,"Open Meeting, Advocacy, Activism"
Homelessness Action Project at Cornell 3 slash 18 slash 26 G-Body Meeting,"Wednesday, 18 March 2026 At 6:00 PM, EDT (GMT-4)",Warren Hall Room 137,/rsvp_boot?id=2300573,0 going,Open Event
Jane Street Tech Talks,"Wednesday, 18 March 2026 At 6:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303592,0 going,"Open Event, Diversity, Dialogue/ Discussion, Advocacy, Free, Fun, Awareness, Activism, Community, Food/Drink, Identity, Social, Inclusion"
Story Night: Tales From Cornell’s Neurodivergent Community,"Wednesday, 18 March 2026 At 7:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303458,0 going,"Open Event, Careers"
Virtual Career Fair: Discover Opportunities in China,"Wednesday, 18 March 2026 At 7:30 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2296910,0 going,"Open Event, Music, Free, Fun, Performance"
Midday Music in Lincoln: Making Sound Futures ( CU Music ),"Thursday, 19 March 2026 At 12:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2301443,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
English Conversation Hour,"Thursday, 19 March 2026 At 1:15 PM, EDT (GMT-4)",Plant Science Building 328A,/rsvp_boot?id=2298371,0 going,"Open Event, Advocacy, Free, Fun, Mental Health, Mindfulness, Community Service, Activism, Community, Food/Drink, Identity, Networking, Inclusion, SBO Reimbursement"
Mapping Workshop: The Campus We Feel,"Thursday, 19 March 2026 At 1:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303419,0 going,"Open Event, Free, Fun, Art"
"Professional Directions: A Conversation with Keri Putnam, A",D,White Professor-at-Large,/rsvp_boot?id=2303932,0 going,Open Lecture/Webinar
AHS Hosts Ambassador Patrick Duddy via Zoom,"Thursday, 19 March 2026 At 4:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2304008,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Japanese Conversation Hour,"Thursday, 19 March 2026 At 4:30 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2302315,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Mandarin Conversation Hour,"Thursday, 19 March 2026 At 4:30 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2302324,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Hindi slash Urdu Conversation Hour,"Thursday, 19 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297668,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Turkish Conversation Hour,"Thursday, 19 March 2026 At 5:00 PM, EDT (GMT-4)",G24B Stimson Hall,/rsvp_boot?id=2298140,0 going,"Open Event, Careers"
Summer Experiences and Internships: Panel of Upperclassmen,"Thursday, 19 March 2026 At 5:00 PM, EDT (GMT-4)","Multipurpose Room 3330 ( The Tatkon Center ) - Balch Hall Balch Hall 600 Thurston Avenue, Ithaca, New York 14850, United States",/rsvp_boot?id=2302866,0 going,"Open Event, Free, Fun, Art"
"An Evening with Nona Hendryx: A Conversation on Life, Music, and Creative Practice","Thursday, 19 March 2026 At 5:15 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303774,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Thursday, 19 March 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302075,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
English Conversation Hour,"Thursday, 19 March 2026 At 6:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297451,0 going,"Open Event, Careers"
International Student Career Q and A,"Thursday, 19 March 2026 At 6:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2296911,0 going,"Open Event, Free, Fun"
"Come Juggle! Thursday, 19 March 2026 At 6:00 PM, EDT (GMT-4)",Physical Sciences Building Patio,Opens the event page,/rsvp_boot?id=2302522,0 going,"Open Lecture/Webinar, Special Guest"
Strategy and Founder Series - From Consulting to Tech Founder - A Cross-Club Masterclass,"Thursday, 19 March 2026 At 7:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2302964,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 19 March 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288820,0 going,"Open Event, Music, Free, Fun, Performance"
Making Sound Futures ( CU Music ),"Thursday, 19 March 2026 At 7:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2301525,0 going,"Private Meeting, Music, Cultural"
Shimtah Practice,"Thursday, 19 March 2026 At 9:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300057,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Hindi Conversation Hour,"Friday, 20 March 2026 At 9:00 AM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297698,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Quechua Conversation Hour,"Friday, 20 March 2026 At 10:00 AM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297772,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Ancient Greek Conversation Hour,"Friday, 20 March 2026 At 11:00 AM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2298202,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 20 March 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295714,0 going,"Open Event, Academics, Funded by GPSAFC"
The Work-in-Progress Seminar ( TWIPS ),"Friday, 20 March 2026 At 12:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2301098,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Catalan Conversation Hour,"Friday, 20 March 2026 At 1:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297402,0 going,"Open Event, Diversity, Self-Care, Education, Free, Fun, Mindfulness, Resources, Community, Academics, Food/Drink, Identity, Social, Inclusion"
"Study Smart! Friday, 20 March 2026 At 1:15 PM, EDT (GMT-4)",Private Location ( sign in to display ),Opens the event page,/rsvp_boot?id=2303478,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
English Conversation Hour,"Friday, 20 March 2026 At 3:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297459,0 going,Open Lecture/Webinar
Biogeochemistry Seminar,"Friday, 20 March 2026 At 3:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300757,0 going,"Open Training/Workshop, Environment/ Sustainability, Community Service"
CCRA Friday Meeting - Tech help and open workshop,"Friday, 20 March 2026 At 4:30 PM, EDT (GMT-4)",Gates Hall G09,/rsvp_boot?id=2300913,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Portuguese Conversation Hour,"Friday, 20 March 2026 At 5:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2298156,0 going,"Open Event, Free, Fun, Art"
"PMAPS Colloquium with AE Stevenson: “‘Oh My Fucking God, She Fucking Dead’: Time in a Vine”","Friday, 20 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303347,0 going,"Private Event, Food/Drink, Social"
FamBiz Fest: Family Business Club Social Event,"Friday, 20 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2304124,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Friday, 20 March 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302109,0 going,"Open Event, Dance, Free, Fun, Art"
PENUMBRA: 2026 ANNUAL SPRING DANCE PRESENTING SERIES,"Friday, 20 March 2026 At 7:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303782,0 going,"Open Event, Music, Fun, Performance"
"Dallas Morse Coors Concert Series presents Sir Stephen Hough, piano","Friday, 20 March 2026 At 7:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2286203,0 going,"Open Meeting, Esports, Gaming, Free, Fun"
Cornell Fighting Game Club Weekly Meeting,"Friday, 20 March 2026 At 8:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2299348,0 going,"Open Event, Gaming, Free, Fun, Community, Food/Drink"
Mafia Club Weekly Meeting,"Friday, 20 March 2026 At 9:00 PM, EDT (GMT-4)",Keeton House Downstairs G40A Lounge ( near dining room ),/rsvp_boot?id=2292637,0 going,"Open Event, Environment/ Sustainability"
Cornell Botanic Gardens Plant Sale,"Saturday, 21 March 2026 At 10:00 AM, EDT (GMT-4)",Brian C,/rsvp_boot?id=2304028,0 going,"Open Training/Workshop, Dance, Free, Fun"
Swing Syndicate Open Jam,"Saturday, 21 March 2026 At 11:00 AM, EDT (GMT-4)","Garden Room, Willard Straight Hall",/rsvp_boot?id=2299942,0 going,"Private Meeting, Music, Cultural"
Shimtah Practice,"Saturday, 21 March 2026 At 4:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300059,0 going,Open Event
Step Team Spring Workshop and Tryouts,"Saturday, 21 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302835,0 going,"Open Event, Dialogue/ Discussion, Art, Film, Family, Identity"
Transgressing Family Ties: TITANE vertical bar Screening and Discussion,"Saturday, 21 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2304085,0 going,"Open Event, Cultural, Funded by GPSAFC"
Johnson Carnaval Latino,"Saturday, 21 March 2026 At 6:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2296263,0 going,Open Event
Mr,Asia,"Saturday, 21 March 2026 At 7:00 PM, EDT (GMT-4)",/rsvp_boot?id=2304065,0 going,"Open Event, Dance, Free, Fun, Art"
PENUMBRA: 2026 ANNUAL SPRING DANCE PRESENTING SERIES,"Saturday, 21 March 2026 At 7:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303784,0 going,"Open Event, Music, Free, Fun, Performance"
Pedro Villa-Forte Honors Recital ( CU Music ),"Saturday, 21 March 2026 At 7:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2301820,0 going,"Open Event, Music, Free, Spirituality, Faith/ Religion"
Pickup Choir with PCM,"Sunday, 22 March 2026 At 10:00 AM, EDT (GMT-4)",Anabel Taylor Hall,/rsvp_boot?id=2286081,0 going,"Open Event, Free, Community, Spirituality, Faith/ Religion, Family, Inclusion"
Morning Worship Services with PCM,"Sunday, 22 March 2026 At 11:00 AM, EDT (GMT-4)",Anabel Taylor Hall Chapel,/rsvp_boot?id=2286117,0 going,"Open Training/Workshop, Environment/ Sustainability, Community Service"
CCRA Sunday Meeting - Computer repurposing workshop,"Sunday, 22 March 2026 At 1:00 PM, EDT (GMT-4)",Gates Hall G11,/rsvp_boot?id=2300905,0 going,"Open Event, Academics"
Latidos at Cornell X LMSA Study Jam,"Sunday, 22 March 2026 At 2:00 PM, EDT (GMT-4)",Private Location ( register to display ),/rsvp_boot?id=2304224,0 going,Private Meeting
Board,"Sunday, 22 March 2026 At 2:30 PM, EDT (GMT-4)",Private Location ( register to display ),/rsvp_boot?id=2301151,0 going,"Open Event, Film"
Come and See Me in the Good Light,"Sunday, 22 March 2026 At 2:30 PM, EDT (GMT-4)",Willard Straight Theatre,/rsvp_boot?id=2303803,0 going,Private Meeting
Chapter,"Sunday, 22 March 2026 At 3:00 PM, EDT (GMT-4)",Private Location ( register to display ),/rsvp_boot?id=2301140,0 going,"Open Event, Music, Free, Fun, Performance"
"Shih-Lin Chen, cello and Vera H",P,"Hsu, piano ( CU Music )",/rsvp_boot?id=2302450,0 going,"Open Event, Spirituality, Faith/ Religion"
Catholic Bible Study,"Sunday, 22 March 2026 At 3:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303279,0 going,"Open Event, Spirituality, Faith/ Religion"
Sunday Rosary,"Sunday, 22 March 2026 At 4:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303288,0 going,"Open Event, Spirituality, Faith/ Religion"
Catechesis,"Sunday, 22 March 2026 At 4:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303297,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
English Conversation Hour,"Sunday, 22 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2298647,0 going,"Open Event, Spirituality"
Sunday Mass ( 9pm ),"Sunday, 22 March 2026 At 9:00 PM, EDT (GMT-4)",Sage Chapel,/rsvp_boot?id=2288016,0 going,"Open Meeting, Dialogue/ Discussion, Education, Graduate School, Spirituality, Faith/ Religion, Academics, Food/Drink, Funded by Interfaith Council at ..."
Scriptorium,"Monday, 23 March 2026 At 10:00 AM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302129,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Morning Prayer,"Monday, 23 March 2026 At 10:00 AM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302141,0 going,"Open Event, Diversity, Student Life, Advocacy, Free, Fun, Mindfulness, Activism, Community, Food/Drink, Identity, Social, Inclusion"
NeurodiversiTea,"Monday, 23 March 2026 At 10:30 AM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303463,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Spanish Conversation Hour,"Monday, 23 March 2026 At 1:30 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297787,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Sanskrit Conversation Hour,"Monday, 23 March 2026 At 4:00 PM, EDT (GMT-4)",G24A Stimson Hall and on Zoom ( link on website ),/rsvp_boot?id=2297927,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
English Conversation Hour,"Monday, 23 March 2026 At 4:30 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2298408,0 going,"Open Event, Free, Fun, Art"
Shakespeare’s Twelfth Night Auditions,"Monday, 23 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2303937,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Norwegian Conversation Hour,"Monday, 23 March 2026 At 5:00 PM, EDT (GMT-4)",Big Red Barn,/rsvp_boot?id=2297759,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
German Conversation Hour ( SprachCafe ),"Monday, 23 March 2026 At 5:00 PM, EDT (GMT-4)",Big Red Barn,/rsvp_boot?id=2297642,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
French Conversation Hour,"Monday, 23 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297468,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Monday, 23 March 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302076,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Mandarin Conversation Hour,"Monday, 23 March 2026 At 5:40 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2302655,0 going,"Open Event, Food/Drink, Social"
March Happy Hour,"Monday, 23 March 2026 At 6:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2304236,0 going,"Private Meeting, Education"
MICC G-Body and NME Session,"Monday, 23 March 2026 At 6:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2301830,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
English Conversation Hour,"Monday, 23 March 2026 At 6:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297424,0 going,"Open Event, Dance, Free, Fun"
Monday Night Swing Dance,"Monday, 23 March 2026 At 7:00 PM, EDT (GMT-4)",Big Red Barn,/rsvp_boot?id=2299931,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Cantonese Conversation Hour,"Tuesday, 24 March 2026 At 11:15 AM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297883,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Italian Conversation Hour,"Tuesday, 24 March 2026 At 12:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2298798,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Mandarin Conversation Hour,"Tuesday, 24 March 2026 At 1:30 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2303960,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Mandarin Conversation Hour,"Tuesday, 24 March 2026 At 2:30 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2299014,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Cantonese Conversation Hour,"Tuesday, 24 March 2026 At 3:30 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2299025,0 going,"Information Session, Free, Environment/ Sustainability, Careers, Food/Drink, Job Opportunities, Information Session"
New Root Fellowship Info Session,"Tuesday, 24 March 2026 At 4:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2304096,0 going,"Open Event, Music, Free, Fun, Performance"
EZRAKH ( CU Music ),"Tuesday, 24 March 2026 At 4:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302493,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Mandarin Conversation Hour,"Tuesday, 24 March 2026 At 4:30 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297749,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Latin Conversation Hour,"Tuesday, 24 March 2026 At 4:30 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2298189,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Modern Greek Conversation Hour,"Tuesday, 24 March 2026 At 4:30 PM, EDT (GMT-4)",Libe Cafe ( Olin Library ),/rsvp_boot?id=2300774,0 going,"Open Meeting, Diversity, Dialogue/ Discussion, Advocacy, Cultural, Free, Fun, History, Awareness, Activism, Community, Identity, International, Social Justice, Political, Leadership, Social, Inclusion"
CProg x SJP G-Body,"Tuesday, 24 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300239,0 going,Open Meeting
CIAS G-Body,"Tuesday, 24 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300471,0 going,Open Meeting
CIAS G-Body,"Tuesday, 24 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300482,0 going,Open Meeting
CIAS G-Body,"Tuesday, 24 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300493,0 going,"Open Event, Careers"
Virtual Health Systems Career Fair,"Tuesday, 24 March 2026 At 5:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2296913,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Spanish Conversation Hour,"Tuesday, 24 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297800,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Taiwanese Conversation Hour,"Tuesday, 24 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2298658,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Tuesday, 24 March 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302077,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
English Conversation Hour,"Tuesday, 24 March 2026 At 6:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297437,0 going,"Open Event, Careers"
International Alumni Networking Event,"Tuesday, 24 March 2026 At 7:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2296912,0 going,"Private Meeting, Music, Cultural"
Shimtah Oldie Practice,"Tuesday, 24 March 2026 At 9:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300015,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Modern Greek Conversation Hour,"Wednesday, 25 March 2026 At 11:00 AM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297656,0 going,Open Event
Rob Futrick: My Experience at Anaconda,"Wednesday, 25 March 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2304202,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Mandarin Conversation Hour,"Wednesday, 25 March 2026 At 3:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2302647,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Italian Conversation Hour,"Wednesday, 25 March 2026 At 3:45 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297712,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Bangla slash Bengali Conversation Hour,"Wednesday, 25 March 2026 At 3:45 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297390,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
American Sign Language Conversation Hour,"Wednesday, 25 March 2026 At 4:15 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297630,0 going,Private Training/Workshop
Dorothy Proud Workshop: Career Conversations with Alison Steiber,"Wednesday, 25 March 2026 At 4:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2298382,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
English Conversation Hour,"Wednesday, 25 March 2026 At 4:30 PM, EDT (GMT-4)",Plant Science Building 328A,/rsvp_boot?id=2298361,0 going,Open Meeting
The Insurance Club Meeting,"Wednesday, 25 March 2026 At 4:45 PM, EDT (GMT-4)",Ives 217,/rsvp_boot?id=2303247,0 going,"Open Meeting, Mindfulness, Community, Faith/ Religion, Funded by Interfaith Council at ..."
Weekly Meditation and Meeting,"Wednesday, 25 March 2026 At 5:00 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2300506,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Arabic Conversation Hour,"Wednesday, 25 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297361,0 going,"Open Event, Student Life, Education, Free, Health and Wellness"
Eating Well Trivia Pop-Up,"Wednesday, 25 March 2026 At 5:00 PM, EDT (GMT-4)",Becker House Dining,/rsvp_boot?id=2302499,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Armenian Conversation Hour,"Wednesday, 25 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297376,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
French Conversation Hour,"Wednesday, 25 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297482,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Arabic Conversation Hour,"Wednesday, 25 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297361,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Armenian Conversation Hour,"Wednesday, 25 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297376,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
French Conversation Hour,"Wednesday, 25 March 2026 At 5:00 PM, EDT (GMT-4)",G25 Stimson Hall,/rsvp_boot?id=2297482,0 going,"Information Session, Free, Fun, Art, Information Session"
Cornell in Los Angeles Info Sessions,"Wednesday, 25 March 2026 At 5:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2304227,0 going,"Open Event, Student Life, Education, Free, Health and Wellness"
