id,osm_type,lon,lat,name,category,subcategory,address,website
906961060,way,-76.5063942,42.4281418,,leisure,pitch,,
907062388,way,-76.5060527,42.4445787,,leisure,pitch,,
907063502,way,-76.5042047,42.4497259,Sciencenter,tourism,museum,601 First Street,https://sciencenter.org/
907175501,way,-76.4961467,42.4402939,Barr Building,building,commercial,,
907175504,way,-76.4979915,42.4407325,Tompkins Community Bank,amenity,bank,118 East Seneca Street,
907175516,way,-76.4914854,42.4397174,Sage House,building,yes,112 Sage Place,
909520119,way,-76.5046362,42.442278,Monir Warehouse,building,warehouse,,
909540578,way,-76.5043762,42.4435164,Ballet Center of Ithaca,leisure,dance,504 North Plain Street,
909542419,way,-76.5049895,42.4413242,The Frame Shop,shop,photo,,https://theframeshopithaca.com/
909567545,way,-76.5038598,42.4459728,Heritage Park Vacation Rental,shop,rental,,
909811883,way,-76.5227849,42.4167251,,leisure,playground,,
909811884,way,-76.523842,42.416402,,amenity,parking,,
912889097,way,-76.5150253,42.5051095,,amenity,parking,,
914487234,way,-76.506396,42.4193592,South Hill Natural Area West,leisure,nature_reserve,,
915317765,way,-76.4672945,42.4582226,Moakley House,building,yes,,
915317767,way,-76.4699674,42.4544013,Golf Course Tool Shed,building,yes,208 Warren Road,
915491953,way,-76.4675529,42.4574711,,amenity,parking,,
924566188,way,-76.4984901,42.4601564,,amenity,parking,,
924599497,way,-76.4190963,42.4716409,,amenity,parking,,
924601271,way,-76.4941796,42.4523471,,amenity,parking,,
926326024,way,-76.4685628,42.5110349,,leisure,dog_park,,
926326025,way,-76.4688985,42.5110266,,leisure,pitch,,
931488899,way,-76.4758313,42.4540419,Ruth Bader Ginsburg Hall (south),building,dormitory,155 Program House Drive,
931488900,way,-76.4755866,42.4545611,Ruth Bader Ginsburg Hall (north),building,dormitory,155 Program House Drive,
931488904,way,-76.4749963,42.4541047,McClintock Hall,building,dormitory,224 Cradit Farm Drive,
931488905,way,-76.475013,42.4551299,Hu Shih Hall,building,dormitory,141 Program House Drive,
931491813,way,-76.4798712,42.4561505,Ganędagǫ: Hall (west),building,dormitory,,
931491814,way,-76.4790912,42.4562174,Ganędagǫ: Hall (east),building,dormitory,,
931491817,way,-76.4793687,42.4556092,Toni Morrison Hall,building,dormitory,10 Sisson Place,
935109139,way,-76.5088451,42.4525098,,amenity,parking,,
947990656,way,-76.4684664,42.4470246,,amenity,parking,,
951314359,way,-76.474501,42.4478972,,amenity,parking,,
951314360,way,-76.4741297,42.448507,,amenity,parking,,
951314361,way,-76.474748,42.4486032,,amenity,parking,,
962684794,way,-76.5565912,42.3983543,Park Office,office,forestry,,
962684796,way,-76.5536916,42.3962677,,amenity,toilets,,
962688067,way,-76.4877903,42.4509998,,amenity,parking,,
962688068,way,-76.4888215,42.4513516,,amenity,parking,,
962688069,way,-76.4894592,42.4506889,Goat House,building,yes,,
964096613,way,-76.4789287,42.4462412,,amenity,parking,,
964096616,way,-76.4782391,42.4456298,,amenity,parking,,
964163025,way,-76.5993204,42.5460308,Taughannock Falls State Park Office,building,yes,1741 Taughannock Boulevard,
964165644,way,-76.6025839,42.5454143,Campground Showers & Bathroom,building,yes,,
966148670,way,-76.4379213,42.4567407,,amenity,parking,,
973095729,way,-76.4989536,42.4454733,,amenity,parking,,
973095948,way,-76.4990955,42.4459024,,amenity,parking,,
973347718,way,-76.4791668,42.4447714,,amenity,parking,,
978233642,way,-76.4800839,42.4469528,King Shaw Hall,building,university,,
980152056,way,-76.4137872,42.4303346,Ellis Hollow Community Center Pool,leisure,swimming_pool,,
980152058,way,-76.4140812,42.4307373,,amenity,parking,,
980152610,way,-76.4134555,42.4304352,,leisure,firepit,,
980152611,way,-76.4141661,42.4303069,,leisure,playground,,
983098706,way,-76.4861193,42.4417849,Eddygate Apartments,building,residential,100-120 Dryden Road,
984087080,way,-76.4947166,42.5380508,Munson Tires,shop,tyres,17 Peruville Road,https://munsontires.com/
985526060,way,-76.3953136,42.4237454,Polson Preserve,leisure,nature_reserve,,
986233334,way,-76.5039919,42.4570594,Fall Creek access parking lot,amenity,parking,,
986509399,way,-76.4002685,42.431477,Travis Wildflower Preserve,leisure,nature_reserve,,
986511162,way,-76.4024564,42.4348203,Dewey Preserve,leisure,nature_reserve,,
986511996,way,-76.4067326,42.433379,Conwell Tract,leisure,nature_reserve,,
986513044,way,-76.3964568,42.4361013,Durland Nature Preserve,leisure,nature_reserve,,
986928066,way,-76.499538,42.4405876,Women's Community Building,building,apartments,100 West Seneca Street,
987118922,way,-76.4932725,42.4587768,Sunset Park,leisure,park,,
990424817,way,-76.4513871,42.4388205,,leisure,pitch,,
992213131,way,-76.4939135,42.4392002,,amenity,parking,,
992216271,way,-76.4964578,42.4402432,,amenity,parking,,
992217987,way,-76.5053039,42.4446993,Conway Park Playground,leisure,playground,,
992327136,way,-76.4919371,42.4486251,,amenity,parking,,
992327137,way,-76.4921511,42.4486127,,amenity,parking,,
992468977,way,-76.5030215,42.4429447,Markels Flats,leisure,park,,
992787833,way,-76.4922332,42.4517941,,amenity,parking,,
993021885,way,-76.5027601,42.4418318,BJM Playground,leisure,playground,,
995579598,way,-76.4132125,42.4313994,,leisure,pitch,,
995579599,way,-76.4129394,42.4314946,,leisure,pitch,,
995589027,way,-76.4995292,42.4448376,,amenity,parking,,
995632033,way,-76.4966109,42.4417459,Mazza & Mazza,office,lawyer,307 North Tioga Street,
995669366,way,-76.5025164,42.439712,AIDS Ride for Life,office,charity,314 West State Street,
995871807,way,-76.4492028,42.4502521,,amenity,parking,,
995879985,way,-76.449409,42.4397841,,amenity,parking,,
1002495888,way,-76.5017682,42.5368455,,leisure,pitch,,
1002495889,way,-76.5007706,42.5365604,,leisure,pitch,,
1002495890,way,-76.5014736,42.5365282,,leisure,playground,,
1002495892,way,-76.500503,42.5370738,,leisure,pitch,,
1013174795,way,-76.4484343,42.4523254,,amenity,shelter,,
1013174811,way,-76.44827,42.4523921,,leisure,dog_park,,
1013183496,way,-76.4546825,42.4495299,,amenity,parking,,
