id,type,lon,lat,name,category,subcategory,description,location,start_time,end_time,website
trail_20190637,Trail,-76.3965295,42.4438135,Baker Hill Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/20190637
trail_24539031,Trail,-76.497923,42.434772,Hillview Place,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/24539031
trail_33106177,Trail,-76.2556412,42.5635894,Lehigh Valley Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/33106177
trail_37613518,Trail,-76.3491269,42.3228536,B6 (Creek),Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: ground.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/37613518
trail_39158014,Trail,-76.5127127,42.4055963,Bear Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: compacted.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/39158014
trail_39158015,Trail,-76.513328,42.4011883,Lake Treman Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: concrete.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/39158015
trail_39174850,Trail,-76.5191741,42.4161728,Rim Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: ground. Scale: hiking.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/39174850
trail_39174935,Trail,-76.5140241,42.4163655,Owl Creek Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: ground.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/39174935
trail_39174936,Trail,-76.5180697,42.4134463,Gorge Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: compacted. Scale: hiking.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/39174936
trail_50865835,Trail,-76.4764384,42.4176075,South Hill Recreation Way,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: gravel.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/50865835
trail_71601061,Trail,-76.3029396,42.5747265,Tillotson Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: unpaved.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/71601061
trail_89833117,Trail,-76.515253,42.4409492,Floral Ave Multi-Use Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: asphalt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/89833117
trail_89834927,Trail,-76.5129945,42.4478536,Cayuga Waterfront Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: asphalt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/89834927
trail_89888869,Trail,-76.4740257,42.4394746,East Hill Recreation Way,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: asphalt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/89888869
trail_89908881,Trail,-76.513317,42.4436863,Inlet Island Promenade,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/89908881
trail_89985026,Trail,-76.5284494,42.4699401,Black Diamond Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: fine_gravel.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/89985026
trail_90004333,Trail,-76.4588264,42.4258578,Pew Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: paved.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/90004333
trail_90029374,Trail,-76.4842536,42.4431828,Trolley Foot Bridge,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: paved.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/90029374
trail_90282577,Trail,-76.4859295,42.4427821,Cascadilla Place,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: asphalt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/90282577
trail_107384468,Trail,-76.4383862,42.4568723,Freese Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: metal_grid.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/107384468
trail_108057951,Trail,-76.5027022,42.4569622,Bird Sanctuary Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: woodchips.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/108057951
trail_114916604,Trail,-76.3738718,42.318878,Ridgeway Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/114916604
trail_116391295,Trail,-76.4799833,42.4517153,Triphammer Foot Bridge,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: concrete.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/116391295
trail_116421789,Trail,-76.4860643,42.4520474,Suspension Bridge,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/116421789
trail_117133745,Trail,-76.474057,42.4561777,Pleasant Grove Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: asphalt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/117133745
trail_117146520,Trail,-76.4701449,42.44395,Judd Falls Road Walkway,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: concrete.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/117146520
trail_117268253,Trail,-76.4807848,42.4522996,Thurston Avenue,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/117268253
trail_155744127,Trail,-76.3406382,42.334934,B1 (Bite Me),Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/155744127
trail_155744128,Trail,-76.3419837,42.3329714,B3,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/155744128
trail_155744130,Trail,-76.360257,42.3254181,R3,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/155744130
trail_199586126,Trail,-76.4731113,42.4517525,Sackett Foot Bridge,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/199586126
trail_218663220,Trail,-76.4692821,42.4536865,Forest Home Walkway,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/218663220
trail_233696695,Trail,-76.4685611,42.4755497,Dewitt Exercise Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/233696695
trail_233767069,Trail,-76.4760672,42.2995588,Abbott Loop,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/233767069
trail_235501203,Trail,-76.5004716,42.5405269,Lansing Center Trail Main Loop,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: unpaved.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/235501203
trail_235533317,Trail,-76.4953471,42.5388893,Scoops Spur,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: grass.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/235533317
trail_235535040,Trail,-76.4971403,42.5421147,Loop 3,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: grass.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/235535040
trail_235535236,Trail,-76.4969876,42.5410831,Loops 1 and 2,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: grass.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/235535236
trail_235536047,Trail,-76.4959491,42.5410304,Red Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: grass.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/235536047
trail_236340633,Trail,-76.4529379,42.4758901,Lee and Vail Severinghaus Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/236340633
trail_236341570,Trail,-76.4514171,42.4780088,Wilson Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/236341570
trail_236929667,Trail,-76.450283,42.4755714,East Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/236929667
trail_237014853,Trail,-76.446191,42.4778514,Hoyt-Pileated Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/237014853
trail_240144605,Trail,-76.429113,42.4611628,Cayuga Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/240144605
trail_251984332,Trail,-76.4754277,42.472176,Texas Lane Walkway,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/251984332
trail_256717831,Trail,-76.2091584,42.4933752,Kimmich Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/256717831
